# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Tue Oct 12 14:29:50 2021   by: write_object_track_set_viame_csv,,,,,,,,,,
611,20191216_122424_830_R.JPG,4,398,465,412,484,0.851548,0,penguin,0.851548
612,20191216_122424_830_R.JPG,4,191,395,207,411,0.846642,0,penguin,0.846642
613,20191216_122424_830_R.JPG,4,280,395,292,412,0.844751,0,penguin,0.844751
614,20191216_122424_830_R.JPG,4,217,402,232,419,0.829199,0,penguin,0.829199
615,20191216_122424_830_R.JPG,4,270,425,284,443,0.82645,0,penguin,0.82645
616,20191216_122424_830_R.JPG,4,230,451,245,468,0.813587,0,penguin,0.813587
617,20191216_122424_830_R.JPG,4,252,451,266,469,0.80006,0,penguin,0.80006
618,20191216_122424_830_R.JPG,4,231,427,246,444,0.796534,0,penguin,0.796534
619,20191216_122424_830_R.JPG,4,148,409,163,427,0.79108,0,penguin,0.79108
620,20191216_122424_830_R.JPG,4,93,353,109,374,0.781958,0,penguin,0.781958
621,20191216_122424_830_R.JPG,4,124,395,139,412,0.781816,0,penguin,0.781816
622,20191216_122424_830_R.JPG,4,203,434,219,451,0.781036,0,penguin,0.781036
623,20191216_122424_830_R.JPG,4,142,373,157,391,0.773633,0,penguin,0.773633
624,20191216_122424_830_R.JPG,4,183,424,198,442,0.759983,0,penguin,0.759983
625,20191216_122424_830_R.JPG,4,373,448,387,466,0.751396,0,penguin,0.751396
626,20191216_122424_830_R.JPG,4,404,432,420,450,0.745486,0,penguin,0.745486
627,20191216_122424_830_R.JPG,4,341,461,357,476,0.726553,0,penguin,0.726553
628,20191216_122424_830_R.JPG,4,304,438,319,455,0.72324,0,penguin,0.72324
629,20191216_122424_830_R.JPG,4,311,458,326,475,0.718301,0,penguin,0.718301
630,20191216_122424_830_R.JPG,4,214,488,230,505,0.704297,0,penguin,0.704297
631,20191216_122424_830_R.JPG,4,99,436,114,454,0.702579,0,penguin,0.702579
632,20191216_122424_830_R.JPG,4,330,435,345,453,0.701109,0,penguin,0.701109
633,20191216_122424_830_R.JPG,4,249,418,263,435,0.700217,0,penguin,0.700217
634,20191216_122424_830_R.JPG,4,216,463,231,480,0.693109,0,penguin,0.693109
635,20191216_122424_830_R.JPG,4,238,481,254,498,0.69195,0,penguin,0.69195
636,20191216_122424_830_R.JPG,4,275,460,288,478,0.680828,0,penguin,0.680828
637,20191216_122424_830_R.JPG,4,97,403,112,420,0.679685,0,penguin,0.679685
638,20191216_122424_830_R.JPG,4,378,488,393,506,0.679291,0,penguin,0.679291
639,20191216_122424_830_R.JPG,4,173,440,188,457,0.678465,0,penguin,0.678465
640,20191216_122424_830_R.JPG,4,349,485,366,502,0.676273,0,penguin,0.676273
641,20191216_122424_830_R.JPG,4,151,436,166,454,0.672722,0,penguin,0.672722
642,20191216_122424_830_R.JPG,4,358,427,372,446,0.662714,0,penguin,0.662714
643,20191216_122424_830_R.JPG,4,116,415,132,430,0.660699,0,penguin,0.660699
644,20191216_122424_830_R.JPG,4,165,477,181,493,0.657907,0,penguin,0.657907
645,20191216_122424_830_R.JPG,4,117,468,132,486,0.65462,0,penguin,0.65462
646,20191216_122424_830_R.JPG,4,129,430,144,446,0.65393,0,penguin,0.65393
647,20191216_122424_830_R.JPG,4,175,462,190,478,0.646524,0,penguin,0.646524
648,20191216_122424_830_R.JPG,4,11,401,24,417,0.645995,0,penguin,0.645995
649,20191216_122424_830_R.JPG,4,318,481,335,497,0.6453,0,penguin,0.6453
650,20191216_122424_830_R.JPG,4,261,479,276,497,0.641393,0,penguin,0.641393
651,20191216_122424_830_R.JPG,4,51,405,67,422,0.639647,0,penguin,0.639647
652,20191216_122424_830_R.JPG,4,294,474,309,492,0.636119,0,penguin,0.636119
653,20191216_122424_830_R.JPG,4,150,490,166,506,0.634018,0,penguin,0.634018
654,20191216_122424_830_R.JPG,4,90,469,106,487,0.630583,0,penguin,0.630583
655,20191216_122424_830_R.JPG,4,137,457,152,474,0.619385,0,penguin,0.619385
656,20191216_122424_830_R.JPG,4,116,495,134,512,0.617833,0,penguin,0.617833
657,20191216_122424_830_R.JPG,4,5,446,20,463,0.611357,0,penguin,0.611357
658,20191216_122424_830_R.JPG,4,301,496,317,513,0.606363,0,penguin,0.606363
